extracted skills
Hawaii
code reviews
JavaScript
Python
AngularJS
Django
Node module
designing
APIs
API Integration
testing
Testing
unit testing
integration testing
code reviews
code
Python
Node.js
Java
Django
SOAP APIs
JSON
XML
HTML
CSS
React
Angular
API integration
database
SQL
NoSQL
data modeling
version control
Git
cloud platforms
AWS
Azure
Analytics
testing
analyze AB
analytics
dashboards
data science
SQL
Python
R
AB Testing
data visualization
Looker
Tableau
PowerBI
Management
testing
Cloud
malware analysis
computer systems
information systems
SQL
SIEM
Engineering
designing
engineering
coding
database
management
cloud
Kubernetes
Cloud
AI
ML
machine learning
Coding
Linux
C
C++
Java
Python
Go
Perl
Ruby
Ansible
Chef
Puppet
Terraform
Git
code
debugging
OpenStack
Docker
cloud
IoT
artificial intelligence
AI
Data Analytics
Engineering
Azure
AKS
Azure PaaS Services
Apps
App Service
Azure SQL
Software Development
Cloud
Kubernetes
AWS
Azure AKS
DevOps
DNS
Docker
PowerShell
Bash
Python
code
Terraform
Microsoft Certified
cloud platforms
Google Cloud
CI/CD
Apache Spark
machine learning
ML
deep learning
data science
data analytics
ETL
Spark
cloud
Databricks
Google Dataproc
AWS
Cloudera
SDK
product management
big data
Artificial Intelligence
Visualization
deep learning
AI
MLOps
machine learning models
engineering
Deep Learning
data modeling
Flyte
MLFlow
PyTorch
Tensorflow
Keras
machine learning
HPC
computer vision
Go
C++
neural networks
Artificial Intelligence
Visualization
Database
cloud
database
data security
test
SQL
relational database
management
AI
ML
Data Science
Analytics
Product
analytics
dashboards
SQL
data visualization
Tableau
Python
R
Spark
data analysis
data infrastructure
test
software development
Test
Continuous Integration
REST API
Java
JavaScript
React.js
software leveraging
Jenkins
cloud
Amazon Web Services
Microsoft Azure
Engineering
Python
APIs
test
Oracle
JavaPython
code
testing
Java
PL/SQL
Angular
Linux
shell
AWS cloud
Artificial Intelligence
Machine Learning
GIS
Software Development
version control
GIT
GitLab
Windows
artificial intelligence
machine learning
Cloud
AWS
debugging
Java
test
Information Systems
Software Development
JSP
JMS
EJB
Database
Oracle
Object/Relational Mapping
MongoDB
Cloud
Azure
Web Services
REST/SOAP
AVRO
Angular JS
JS
CSS
jQuery
AJAX
Git
Junit
Mockito
GitHub
SonarQube
Slack
Jenkins
Linux
shell Scripting
JavaScript
SQL
Excel
PowerPoint
SCRUM
DevOps
Database
Microsoft SQL Server
.NET
data management
VBA
SAP
Azure
cloud
DevOps
Terraform
Cloud
management
Asana
dashboards
data visualization
classification
Analytics
code
designing
test
analytics
statistics
data analytics
data mining
SQL
SAS
R
Python
Tableau
Excel
analytics
React
Angular
TypeScript
C#
ASP.NET
SQL Server
relational database
MS SQL
MySQL
AWS S3
SQS
Apache Kafka
computer vision
machine learning
CVML
APIs
data pipelines
ML
dashboards
Data Processing
data processing
visualization
Python
Ruby
Node.js
Java
Database
database
data models
SQL
NoSQL
databases
Data Modeling
data analysis
data engineering
git
Spark
cloud platforms
AWS
Azure
GCP
Docker
Kubernetes
Javascript
jQuery
noSQL
PostgresQL
DynamoDB
code
C++
Go
Qualifications:10
software development
C#
SQL
Microsoft Office
designing
cloud
APIs
test
Magento
Terraform
AWS
Gitlab
testing
Go
Java
Python
A/B Testing
Management
Cloud
cloud
designing
software development
Linux
AWS infrastructure
VPC
EC2
IAM
ECS
Code
S3
AWS
data migration
CloudFormation
Windows
AWS CLI
AWS-Shell
Information Systems
DevOps
SysOps
Oracle
Database
database
Oracle Exadata
Oracle Database
Exadata
cloud
ODA
10g/11g/12c/19c
RDBMS
SQL
Cloud
OCI
AZURE
AWS
GCP
Databases
Linux
Clustering
shell
Perl
13c24x7
data engineering
Data Engineering
Java
Golang
C++
Python
Computer architecture
code
test
ML
database
SQL
NoSQL
MySQL
Cassandra
Hadoop
HDFS
Apache Spark
Apache Flink
Hive
Presto
machine learning
Engineering
designing
designing
MATLAB
Simulink
engineering
test
testing
electrical system
electrical systems
management
Microsoft Certified
Azure
Cloud
AI
code reviews
software development
testing
debugging
Python
Java
machine learning
AI
machine learning
ML
data science
Python
Java
Data
.NET
AI
artificial intelligence
Analytics
data analytics
Python
data science
data engineering
Data Engineering
Java
Golang
C++
Python
Computer architecture
code
test
ML
database
SQL
NoSQL
MySQL
Cassandra
Hadoop
HDFS
Apache Spark
Apache Flink
Hive
Presto
machine learning
Java
Python
SQL
Azure
Kubernetes
docker
Jenkins
DevOps
GitTroubleshooting
Linux
Windows
Apache Airflow
Airflow
Azure
test
Cloud
analyzing data
code
SQL
Data Warehouse
C#
ADF pipelines
Azure Integration
CI/CD
GitHub
cloud
engineering
anomaly detection
analytics
Azure
PowerShell
SQL Server
NOSQL
databases
testing
C
coding
code
Windows
Linux
HTML
MySQL
C
C++
management
SaaS
CI/CD pipelines
DevOps
AWS ecosystem
AWS services
AWS
Python
Bash
Terraform
OWASP
Serverless
Lambda
DynamoDB
test
fault detection
MATLAB
coding
testing
integration testing
debugging
version control
python
C#
C
SQL
LFIDS
data science
analytics
software development
data management
visualization
data engineering
databases
cloud
ETL
Java
XML
SQL
data warehousing
management
Database
Salesforce
code
APIs
coding
Python
Javascript
TypeScript
React
GNDC
database
Python
SQL
ETL
Server
MySQL
Bash
Shell
PuttyWindows
Linux
.Net
Ruby
JavaScript
DevOps
code
cloud
designing
CI/CD
engineering
GCP
K8s
Cloud
Testing
CI/CD pipelines
management
Terraform
Ansible
AWS
Azure
AI
tune AI
ML
Python
TensorFlow
PyTorch
software development
version control
Git
Machine Learning
Database
databases
engineering
management
database
Microsoft SQL Server
Windows
MySQL
Oracle
MariaDB
VMware
data lake
AI
data analytics
solutionsDevelop
maintain data
data integration
data analysis
Python
R
TensorFlow
data lakes
Hadoop
Spark
Data Science
Statistics
data science
.Net
AWS
database
.NET
ASP.NET
C#
SQL
AWS Cloud
Microservice architecture
software development
Node JS
RESTful API
MS Azure
cloud
Azure
RESTful APIs
code
databases
Salesforce
CPQ
designing
Apex
processingUnderstanding
AR/AP
ERP
Oracle
SAP
code
software development
data tables
WKL
DevOps
code
cloud
code reviews
engineering
software issuesWork
Management
Kubernetes
CI/CD
testing
GitLab
Python
PHP
Bash
AWS
Heroku
Linux
Excel
Web Development
designing
databases
code
coding
debugging
HTML
CSS
JavaScript
React
Angular
Node.js
Python
Ruby
Django
web development
SQL
NoSQL
APIs
UX
test
Javascript
Node
Salesforce
Cloud
Excel
code
coding
UX
code reviews
Swift
MVVM
MVC
RESTful JSON
XML
testing
unit test
test
Git
GitFlow
management
debugging
continuous integration
GitHub
Google Firebase
Crashlytics
Github
machine learning
Java
AWS
Kubernetes
